epoch,accuracy,loss,val_accuracy,val_loss
0,0.9432182908058167,0.2049580067396164,0.9882246255874634,0.0544695146381855
1,0.9864566326141357,0.05853882431983948,0.9954710006713867,0.02782238833606243
2,0.995184600353241,0.033432457596063614,0.9981883764266968,0.02066013403236866
3,0.9946829676628113,0.029645007103681564,0.9963768124580383,0.026392737403512
4,0.9966893792152405,0.02106945402920246,0.9990941882133484,0.01137970108538866
5,0.9979935884475708,0.015906065702438354,0.9990941882133484,0.012265881523489952
6,0.9986958503723145,0.01264469139277935,0.9990941882133484,0.010117469355463982
7,0.9986958503723145,0.011629201471805573,0.9990941882133484,0.010427665896713734
8,0.999699056148529,0.0071677458472549915,0.9954710006713867,0.012895748019218445
9,0.9985954761505127,0.009111746214330196,0.9990941882133484,0.006368846166878939
