epoch,accuracy,loss,val_accuracy,val_loss
0,0.9618780016899109,0.13392388820648193,0.9990941882133484,0.02887345664203167
1,0.9976926445960999,0.026067329570651054,0.9990941882133484,0.015692809596657753
2,0.9993980526924133,0.013961917720735073,1.0,0.009618480689823627
3,1.0,0.008792837150394917,1.0,0.00733939791098237
4,1.0,0.006170040462166071,0.9990941882133484,0.007901137694716454
5,0.9961878061294556,0.020837169140577316,0.9954710006713867,0.018493222072720528
6,0.9990971088409424,0.00929668266326189,0.9990941882133484,0.011570684611797333
7,0.9993980526924133,0.007329972926527262,0.9981883764266968,0.012051116675138474
8,0.9989967942237854,0.007836545817553997,0.9990941882133484,0.0075051672756671906
9,0.9985954761505127,0.010344906710088253,0.9963768124580383,0.023626919835805893
